Date,Open,date,News Sentiment,Sentiment_1_days_before,Sentiment_2_days_before,Sentiment_3_days_before,Sentiment_4_days_before,Sentiment_5_days_before,Sentiment_6_days_before,Sentiment_7_days_before,Sentiment_8_days_before,Sentiment_9_days_before,Sentiment_10_days_before,Sentiment_11_days_before,Sentiment_12_days_before,Sentiment_13_days_before,Sentiment_14_days_before,Sentiment_15_days_before,Sentiment_16_days_before,Sentiment_17_days_before,Sentiment_18_days_before,Sentiment_19_days_before,Sentiment_20_days_before
2018-01-02,1305.3,2018-01-02,0.26,0.28,0.29,0.31,0.3,0.27,0.28,0.27,0.27,0.28,0.26,0.25,0.26,0.26,0.24,0.21,0.2,0.2,0.2,0.19,0.2
2018-01-03,1319.0,2018-01-03,0.27,0.26,0.28,0.29,0.31,0.3,0.27,0.28,0.27,0.27,0.28,0.26,0.25,0.26,0.26,0.24,0.21,0.2,0.2,0.2,0.19
2018-01-04,1315.5,2018-01-04,0.25,0.27,0.26,0.28,0.29,0.31,0.3,0.27,0.28,0.27,0.27,0.28,0.26,0.25,0.26,0.26,0.24,0.21,0.2,0.2,0.2
2018-01-05,1324.4,2018-01-05,0.24,0.25,0.27,0.26,0.28,0.29,0.31,0.3,0.27,0.28,0.27,0.27,0.28,0.26,0.25,0.26,0.26,0.24,0.21,0.2,0.2
2018-01-08,1321.8,2018-01-08,0.28,0.24,0.25,0.27,0.26,0.28,0.29,0.31,0.3,0.27,0.28,0.27,0.27,0.28,0.26,0.25,0.26,0.26,0.24,0.21,0.2
2018-01-09,1321.2,2018-01-09,0.28,0.28,0.24,0.25,0.27,0.26,0.28,0.29,0.31,0.3,0.27,0.28,0.27,0.27,0.28,0.26,0.25,0.26,0.26,0.24,0.21
2018-01-10,1313.3,2018-01-10,0.29,0.28,0.28,0.24,0.25,0.27,0.26,0.28,0.29,0.31,0.3,0.27,0.28,0.27,0.27,0.28,0.26,0.25,0.26,0.26,0.24
2018-01-11,1317.5,2018-01-11,0.29,0.29,0.28,0.28,0.24,0.25,0.27,0.26,0.28,0.29,0.31,0.3,0.27,0.28,0.27,0.27,0.28,0.26,0.25,0.26,0.26
2018-01-12,1323.6,2018-01-12,0.29,0.29,0.29,0.28,0.28,0.24,0.25,0.27,0.26,0.28,0.29,0.31,0.3,0.27,0.28,0.27,0.27,0.28,0.26,0.25,0.26
2018-01-15,1337.3,2018-01-15,0.25,0.29,0.29,0.29,0.28,0.28,0.24,0.25,0.27,0.26,0.28,0.29,0.31,0.3,0.27,0.28,0.27,0.27,0.28,0.26,0.25
2018-01-17,1339.0,2018-01-17,0.24,0.25,0.29,0.29,0.29,0.28,0.28,0.24,0.25,0.27,0.26,0.28,0.29,0.31,0.3,0.27,0.28,0.27,0.27,0.28,0.26
2018-01-18,1327.4,2018-01-18,0.23,0.24,0.25,0.29,0.29,0.29,0.28,0.28,0.24,0.25,0.27,0.26,0.28,0.29,0.31,0.3,0.27,0.28,0.27,0.27,0.28
2018-01-19,1327.0,2018-01-19,0.23,0.23,0.24,0.25,0.29,0.29,0.29,0.28,0.28,0.24,0.25,0.27,0.26,0.28,0.29,0.31,0.3,0.27,0.28,0.27,0.27
2018-01-22,1334.0,2018-01-22,0.17,0.23,0.23,0.24,0.25,0.29,0.29,0.29,0.28,0.28,0.24,0.25,0.27,0.26,0.28,0.29,0.31,0.3,0.27,0.28,0.27
2018-01-23,1333.0,2018-01-23,0.18,0.17,0.23,0.23,0.24,0.25,0.29,0.29,0.29,0.28,0.28,0.24,0.25,0.27,0.26,0.28,0.29,0.31,0.3,0.27,0.28
2018-01-24,1341.4,2018-01-24,0.18,0.18,0.17,0.23,0.23,0.24,0.25,0.29,0.29,0.29,0.28,0.28,0.24,0.25,0.27,0.26,0.28,0.29,0.31,0.3,0.27
2018-01-25,1357.0,2018-01-25,0.18,0.18,0.18,0.17,0.23,0.23,0.24,0.25,0.29,0.29,0.29,0.28,0.28,0.24,0.25,0.27,0.26,0.28,0.29,0.31,0.3
2018-01-26,1346.4,2018-01-26,0.2,0.18,0.18,0.18,0.17,0.23,0.23,0.24,0.25,0.29,0.29,0.29,0.28,0.28,0.24,0.25,0.27,0.26,0.28,0.29,0.31
2018-01-29,1349.0,2018-01-29,0.19,0.2,0.18,0.18,0.18,0.17,0.23,0.23,0.24,0.25,0.29,0.29,0.29,0.28,0.28,0.24,0.25,0.27,0.26,0.28,0.29
2018-01-30,1344.0,2018-01-30,0.21,0.19,0.2,0.18,0.18,0.18,0.17,0.23,0.23,0.24,0.25,0.29,0.29,0.29,0.28,0.28,0.24,0.25,0.27,0.26,0.28
2018-01-31,1341.8,2018-01-31,0.22,0.21,0.19,0.2,0.18,0.18,0.18,0.17,0.23,0.23,0.24,0.25,0.29,0.29,0.29,0.28,0.28,0.24,0.25,0.27,0.26
2018-02-01,1348.2,2018-02-01,0.22,0.22,0.21,0.19,0.2,0.18,0.18,0.18,0.17,0.23,0.23,0.24,0.25,0.29,0.29,0.29,0.28,0.28,0.24,0.25,0.27
2018-02-02,1352.2,2018-02-02,0.23,0.22,0.22,0.21,0.19,0.2,0.18,0.18,0.18,0.17,0.23,0.23,0.24,0.25,0.29,0.29,0.29,0.28,0.28,0.24,0.25
2018-02-05,1334.6,2018-02-05,0.25,0.23,0.22,0.22,0.21,0.19,0.2,0.18,0.18,0.18,0.17,0.23,0.23,0.24,0.25,0.29,0.29,0.29,0.28,0.28,0.24
2018-02-06,1343.1,2018-02-06,0.22,0.25,0.23,0.22,0.22,0.21,0.19,0.2,0.18,0.18,0.18,0.17,0.23,0.23,0.24,0.25,0.29,0.29,0.29,0.28,0.28
2018-02-07,1326.6,2018-02-07,0.2,0.22,0.25,0.23,0.22,0.22,0.21,0.19,0.2,0.18,0.18,0.18,0.17,0.23,0.23,0.24,0.25,0.29,0.29,0.29,0.28
2018-02-08,1320.7,2018-02-08,0.18,0.2,0.22,0.25,0.23,0.22,0.22,0.21,0.19,0.2,0.18,0.18,0.18,0.17,0.23,0.23,0.24,0.25,0.29,0.29,0.29
2018-02-09,1321.0,2018-02-09,0.17,0.18,0.2,0.22,0.25,0.23,0.22,0.22,0.21,0.19,0.2,0.18,0.18,0.18,0.17,0.23,0.23,0.24,0.25,0.29,0.29
2018-02-12,1317.1,2018-02-12,0.15,0.17,0.18,0.2,0.22,0.25,0.23,0.22,0.22,0.21,0.19,0.2,0.18,0.18,0.18,0.17,0.23,0.23,0.24,0.25,0.29
