Date,Open,date,News Sentiment,Sentiment_1_days_before,Sentiment_2_days_before,Sentiment_3_days_before,Sentiment_4_days_before,Sentiment_5_days_before,Sentiment_6_days_before,Sentiment_7_days_before,Sentiment_8_days_before,Sentiment_9_days_before,Sentiment_10_days_before,Sentiment_11_days_before,Sentiment_12_days_before,Sentiment_13_days_before,Sentiment_14_days_before,Sentiment_15_days_before,Sentiment_16_days_before,Sentiment_17_days_before,Sentiment_18_days_before,Sentiment_19_days_before,Sentiment_20_days_before
2000-02-02,285.4,2000-02-02,0.29,0.29,0.28,0.32,0.31,0.31,0.3,0.31,0.32,0.33,0.32,0.33,0.3,0.3,0.29,0.27,0.28,0.3,0.31,0.3,0.28
2000-02-03,287.7,2000-02-03,0.29,0.29,0.29,0.28,0.32,0.31,0.31,0.3,0.31,0.32,0.33,0.32,0.33,0.3,0.3,0.29,0.27,0.28,0.3,0.31,0.3
2000-02-04,290.2,2000-02-04,0.28,0.29,0.29,0.29,0.28,0.32,0.31,0.31,0.3,0.31,0.32,0.33,0.32,0.33,0.3,0.3,0.29,0.27,0.28,0.3,0.31
2000-02-07,318.0,2000-02-07,0.28,0.28,0.29,0.29,0.29,0.28,0.32,0.31,0.31,0.3,0.31,0.32,0.33,0.32,0.33,0.3,0.3,0.29,0.27,0.28,0.3
2000-02-08,306.0,2000-02-08,0.28,0.28,0.28,0.29,0.29,0.29,0.28,0.32,0.31,0.31,0.3,0.31,0.32,0.33,0.32,0.33,0.3,0.3,0.29,0.27,0.28
2000-02-09,301.7,2000-02-09,0.29,0.28,0.28,0.28,0.29,0.29,0.29,0.28,0.32,0.31,0.31,0.3,0.31,0.32,0.33,0.32,0.33,0.3,0.3,0.29,0.27
2000-02-10,308.5,2000-02-10,0.27,0.29,0.28,0.28,0.28,0.29,0.29,0.29,0.28,0.32,0.31,0.31,0.3,0.31,0.32,0.33,0.32,0.33,0.3,0.3,0.29
2000-02-11,318.3,2000-02-11,0.26,0.27,0.29,0.28,0.28,0.28,0.29,0.29,0.29,0.28,0.32,0.31,0.31,0.3,0.31,0.32,0.33,0.32,0.33,0.3,0.3
2000-02-14,313.6,2000-02-14,0.25,0.26,0.27,0.29,0.28,0.28,0.28,0.29,0.29,0.29,0.28,0.32,0.31,0.31,0.3,0.31,0.32,0.33,0.32,0.33,0.3
2000-02-15,310.7,2000-02-15,0.26,0.25,0.26,0.27,0.29,0.28,0.28,0.28,0.29,0.29,0.29,0.28,0.32,0.31,0.31,0.3,0.31,0.32,0.33,0.32,0.33
2000-02-16,304.2,2000-02-16,0.28,0.26,0.25,0.26,0.27,0.29,0.28,0.28,0.28,0.29,0.29,0.29,0.28,0.32,0.31,0.31,0.3,0.31,0.32,0.33,0.32
